store_id,total_orders,avg_distance_km,avg_delivery_time,total_delivery_cost,avg_traffic_weight,delivery_count,cost_per_order
18.546947_73.900626,254,9.212189524395782,24.780645161290323,3403.4931838257667,1.3748387096774193,155,13.399579463880972
18.536718_73.830327,253,9.162296844649342,25.966887417218544,3422.4564320405375,1.451655629139073,151,13.527495778816354
18.539299_73.897902,265,9.11198275015479,25.44078947368421,3739.8487673429354,1.4118421052631578,152,14.11263685789787
18.593481_73.785901,274,9.689292772675387,26.76073619631902,3892.6239052863843,1.4282208588957055,163,14.20665658863644
18.543626_73.905101,250,9.512918944393782,25.215686274509803,3603.2960191581897,1.4339869281045752,153,14.413184076632758
18.569156_73.774723,293,9.545345183209308,26.60355029585799,4250.891542563519,1.4076923076923078,169,14.508162261308938
18.530963_73.828972,279,9.659084037434813,26.043478260869566,4090.624966259503,1.4217391304347826,161,14.661738230320799
18.51421_73.838429,248,9.610151270103842,25.8843537414966,3723.096667922418,1.473469387755102,147,15.012486564203298
18.546258_73.904337,273,9.900979348514301,25.6875,4115.889607646792,1.42875,160,15.076518709328907
18.56245_73.916619,266,9.30836397617108,26.20253164556962,4019.176024937267,1.437974683544304,158,15.10968430427544
18.592718_73.773572,288,9.701846301872674,27.15432098765432,4360.917074763399,1.4283950617283951,162,15.142073176261801
18.53408_73.89852,290,9.801867095103947,26.271084337349397,4403.921416864683,1.4608433734939759,166,15.185935920223045
18.533811_73.899315,285,9.68451723848774,26.08641975308642,4336.342018161424,1.4209876543209876,162,15.215235151443592
18.636215_73.751081,256,9.744316739943265,25.960526315789473,3899.802098199194,1.4427631578947369,152,15.233601946090602
18.536562_73.896485,273,9.35082198038139,28.116129032258065,4161.046373963424,1.5045161290322582,155,15.241928109756133
18.55144_73.804855,257,9.712964620854157,25.80392156862745,3942.864253733071,1.473202614379085,153,15.341884255770704
18.554382_73.798206,271,9.792991054083815,26.607843137254903,4218.138477520575,1.461437908496732,153,15.565086632917252
18.516216_73.842527,276,9.598458327103064,27.38064516129032,4301.935604522104,1.4825806451612904,155,15.586723204790232
18.563934_73.915367,281,9.779731925737037,26.9748427672956,4520.906178520457,1.4937106918238994,159,16.08863408726141
18.520016_73.830547,266,10.263443060089749,27.910958904109588,4337.098858597425,1.4815068493150685,146,16.30488292705799
